Area,Year,Crime,Cases_Convicted,Cases_Pending_at_Year_End,Cases_Pending_previous_year,Total_Cases_for_Trial,Cases_Trials_Completed
Himachal Pradesh,2010,Cruelty by Husband and Relatives,7,59,50,1455,109
Jammu & Kashmir,2010,Cruelty by Husband and Relatives,8,102,89,571,33
Jharkhand,2010,Cruelty by Husband and Relatives,177,696,783,1638,668
Karnataka,2010,Cruelty by Husband and Relatives,75,736,733,9002,1783
Kerala,2010,Cruelty by Husband and Relatives,127,1033,951,18967,2563
Lakshadweep,2010,Cruelty by Husband and Relatives,0,1,1,2,0
Madhya Pradesh,2010,Cruelty by Husband and Relatives,871,197,136,15340,2261
Maharashtra,2010,Cruelty by Husband and Relatives,104,1789,1888,58802,5000
Manipur,2010,Cruelty by Husband and Relatives,0,93,79,4,0
Meghalaya,2010,Cruelty by Husband and Relatives,0,58,44,30,2
Mizoram,2010,Cruelty by Husband and Relatives,2,0,0,3,2
Nagaland,2010,Cruelty by Husband and Relatives,2,0,0,2,2
Odisha,2010,Cruelty by Husband and Relatives,99,900,1075,8727,1138
Puducherry,2010,Cruelty by Husband and Relatives,0,1,1,40,8
Punjab,2010,Cruelty by Husband and Relatives,123,683,711,3936,532
Rajasthan,2010,Cruelty by Husband and Relatives,1042,360,323,27290,2417
Sikkim,2010,Cruelty by Husband and Relatives,0,3,3,12,0
Tamil Nadu,2010,Cruelty by Husband and Relatives,211,542,456,4940,1041
Tripura,2010,Cruelty by Husband and Relatives,39,180,70,2586,436
Uttar Pradesh,2010,Cruelty by Husband and Relatives,3024,981,1016,20233,5485
Uttarakhand,2010,Cruelty by Husband and Relatives,64,46,60,1252,174
West Bengal,2010,Cruelty by Husband and Relatives,148,8934,8583,81124,2505
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
